epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3093,1.48839,3.93415,1.68356,0.00345,1,0.27119,0.18275,1.67111,4.31035,1.93213,1.25e-05,1.25e-05,1.25e-05
2,33.391,1.37451,3.98336,1.50078,0.00343,1,0.28149,0.16029,1.48111,4.18827,1.76457,3.67575e-05,3.67575e-05,3.67575e-05
3,45.143,1.1967,3.68095,1.34311,0.00339,1,0.3292,0.18548,1.10038,4.15162,1.36626,6.0025e-05,6.0025e-05,6.0025e-05
4,55.4996,1.05357,3.88176,1.27666,0.00337,1,0.54725,0.37064,0.74531,4.02398,1.04488,8.23025e-05,8.23025e-05,8.23025e-05
5,63.0423,0.87464,3.53155,1.10126,0.00338,1,0.62187,0.45208,0.63529,3.92592,0.92499,0.00010359,0.00010359,0.00010359
6,72.375,0.90947,3.55993,1.14026,0.00339,1,0.87062,0.58456,0.57525,3.70534,0.85419,0.000123888,0.000123888,0.000123888
7,80.5133,0.81197,3.34857,1.07601,0.00339,1,0.82917,0.59919,0.63009,3.66752,0.81371,0.000143195,0.000143195,0.000143195
8,95.6574,0.94698,3.37538,1.15313,0.00339,1,0.68406,0.53357,0.6354,3.6294,0.806,0.000161513,0.000161513,0.000161513
9,107.586,0.8722,3.27719,1.22131,0.00341,1,0.82917,0.64675,0.57533,3.61405,0.80007,0.00017884,0.00017884,0.00017884
10,116.074,0.92033,3.14345,1.16071,0.00344,1,0.87062,0.70894,0.55134,3.50497,0.75917,0.000195178,0.000195178,0.000195178
11,122.932,0.65318,2.72053,0.995,0.00351,1,0.87062,0.78356,0.46226,3.35326,0.71404,0.000210525,0.000210525,0.000210525
12,129.292,0.86411,2.57068,1.1232,0.00351,1,0.87062,0.78356,0.46226,3.35326,0.71404,0.000224883,0.000224883,0.000224883
13,136.607,0.87125,2.43416,1.06453,0.0036,1,0.87062,0.80844,0.4693,3.22196,0.71928,0.00023825,0.00023825,0.00023825
14,145.944,0.69146,2.5012,0.99195,0.00363,1,0.87062,0.78356,0.56816,3.06273,0.7813,0.000250627,0.000250627,0.000250627
15,154.305,0.82737,2.20782,1.07533,0.00363,1,0.87062,0.78356,0.56816,3.06273,0.7813,0.000262015,0.000262015,0.000262015
16,163.694,0.69157,1.87321,0.99512,0.69434,0.75,0.87062,0.73381,0.64861,2.92725,0.81856,0.000272412,0.000272412,0.000272412
17,173.311,0.74271,1.78818,1.03475,0.74172,0.75,0.995,0.82265,0.74617,2.80301,0.87014,0.00028182,0.00028182,0.00028182
18,180.44,0.65042,1.70656,1.01209,0.74172,0.75,0.995,0.82265,0.74617,2.80301,0.87014,0.000290237,0.000290237,0.000290237
19,187.002,0.7505,1.77852,1.05923,0.69388,0.75,0.995,0.82585,0.78261,2.65877,0.8938,0.000297665,0.000297665,0.000297665
20,194.295,0.72989,1.59766,1.02231,0.69388,0.75,0.995,0.82585,0.78261,2.65877,0.8938,0.000304103,0.000304103,0.000304103
21,200.786,0.56556,1.66514,0.93517,0.74694,0.75,0.995,0.8254,0.77248,2.58867,0.86481,0.00030955,0.00030955,0.00030955
22,207.238,0.65743,1.44432,1.00636,0.74694,0.75,0.995,0.8254,0.77248,2.58867,0.86481,0.000314008,0.000314008,0.000314008
23,214.101,0.67975,1.49778,0.98395,0.72054,0.75,0.995,0.87063,0.55959,2.57853,0.76143,0.000317475,0.000317475,0.000317475
24,221.039,0.78119,1.66752,1.01297,0.72054,0.75,0.995,0.87063,0.55959,2.57853,0.76143,0.000319953,0.000319953,0.000319953
25,229.744,0.6788,1.67856,0.95324,0.75116,0.75,0.995,0.87063,0.5191,2.65136,0.74969,0.00032144,0.00032144,0.00032144
26,239.034,0.63305,1.32362,0.95952,0.75116,0.75,0.995,0.87063,0.5191,2.65136,0.74969,0.000321938,0.000321938,0.000321938
27,245.404,0.66391,1.48484,0.98885,0.75116,0.75,0.995,0.87063,0.5191,2.65136,0.74969,0.000321445,0.000321445,0.000321445
28,251.792,0.69363,1.52057,1.00527,0.75904,0.75,0.995,0.87063,0.57024,2.64328,0.75326,0.000319962,0.000319962,0.000319962
29,258.641,0.68113,1.44904,0.95512,0.75904,0.75,0.995,0.87063,0.57024,2.64328,0.75326,0.00031749,0.00031749,0.00031749
30,265.516,0.70247,1.42308,0.97257,0.71451,0.75,0.995,0.87063,0.62427,2.50412,0.76707,0.000314028,0.000314028,0.000314028
31,272.287,0.76729,1.52487,1.07072,0.71451,0.75,0.995,0.87063,0.62427,2.50412,0.76707,0.000309575,0.000309575,0.000309575
32,278.443,0.73576,1.47995,1.05328,0.71451,0.75,0.995,0.87063,0.62427,2.50412,0.76707,0.000304132,0.000304132,0.000304132
33,284.531,0.44343,1.27104,0.84543,0.64989,1,0.995,0.84851,0.66703,2.3259,0.78339,0.0002977,0.0002977,0.0002977
34,290.571,0.64283,1.4314,0.99761,0.64989,1,0.995,0.84851,0.66703,2.3259,0.78339,0.000290277,0.000290277,0.000290277
35,296.55,0.49892,1.15931,0.91791,0.64989,1,0.995,0.84851,0.66703,2.3259,0.78339,0.000281865,0.000281865,0.000281865
36,302.971,0.66901,1.48956,0.9877,0.66932,1,0.995,0.87063,0.70148,2.09403,0.80304,0.000272463,0.000272463,0.000272463
37,309.389,0.6806,1.41454,0.98455,0.66932,1,0.995,0.87063,0.70148,2.09403,0.80304,0.00026207,0.00026207,0.00026207
38,316.277,0.69648,1.28265,0.92308,0.66932,1,0.995,0.87063,0.70148,2.09403,0.80304,0.000250687,0.000250687,0.000250687
39,323.522,0.86142,1.67218,1.13037,0.7548,1,0.995,0.87063,0.71296,1.96108,0.80863,0.000238315,0.000238315,0.000238315
40,329.344,0.6651,1.29048,0.91278,0.7548,1,0.995,0.87063,0.71296,1.96108,0.80863,0.000224952,0.000224952,0.000224952
41,334.99,0.51556,1.53196,0.93066,0.7548,1,0.995,0.87063,0.71296,1.96108,0.80863,0.0002106,0.0002106,0.0002106
42,340.528,0.56906,1.71687,0.89256,0.79287,1,0.995,0.8955,0.68055,1.9684,0.79054,0.000195258,0.000195258,0.000195258
43,346.987,0.52382,1.52419,0.8685,0.79287,1,0.995,0.8955,0.68055,1.9684,0.79054,0.000178925,0.000178925,0.000178925
44,353.073,0.70309,1.60465,1.09617,0.79287,1,0.995,0.8955,0.68055,1.9684,0.79054,0.000161603,0.000161603,0.000161603
45,359.582,0.58225,1.58035,1.05044,0.79287,1,0.995,0.8955,0.68055,1.9684,0.79054,0.00014329,0.00014329,0.00014329
46,365.78,0.60127,1.85732,0.94484,0.82423,1,0.995,0.8955,0.63569,2.02157,0.76134,0.000123987,0.000123987,0.000123987
47,372.424,0.4579,1.47735,0.84736,0.82423,1,0.995,0.8955,0.63569,2.02157,0.76134,0.000103695,0.000103695,0.000103695
48,378.921,0.50082,1.68538,0.92728,0.82423,1,0.995,0.8955,0.63569,2.02157,0.76134,8.24125e-05,8.24125e-05,8.24125e-05
49,385.67,0.45226,1.56655,0.8593,0.82423,1,0.995,0.8955,0.63569,2.02157,0.76134,6.014e-05,6.014e-05,6.014e-05
50,391.878,0.4375,1.54493,0.90091,0.88766,1,0.995,0.8955,0.63319,1.93103,0.76008,3.68775e-05,3.68775e-05,3.68775e-05
